word,category,syllables,tonic
insensatamente,adverbio,in sen sa ta men te,5
insólitamente,adverbio,in só li ta men te,2
inteligentemente,adverbio,in te li gen te men te,6
intermitentemente,adverbio,in ter mi ten te men te,6
internacionalmente,adverbio,in ter na cio nal men te,6
intricadamente,adverbio,in tri ca da men te,5
introspectivamente,adverbio,in tros pec ti va men te,6
inusualmente,adverbio,i nu sual men te,4
inverosímilmente,adverbio,in ve ro sí mil men te,4
jesuíticamente,adverbio,je suí ti ca men te,2
justicieramente,adverbio,jus ti cie ra men te,5
juvenilmente,adverbio,ju ve nil men te,4
laceradamente,adverbio,la ce ra da men te,5
licántropamente,adverbio,li cán tro pa men te,2
licantrópicamente,adverbio,li can tró pi ca men te,3
ligítimamente,adverbio,li gí ti ma men te,2
linealmente,adverbio,li ne al men te,4
lingüísticamente,adverbio,lin güís ti ca men te,2
listamente,adverbio,lis ta men te,3
localmente,adverbio,lo cal men te,3
locuazmente,adverbio,lo cuaz men te,3
logísticamente,adverbio,lo gís ti ca men te,2
maduramente,adverbio,ma du ra men te,4
mafiosamente,adverbio,ma fio sa men te,4
magnánimamente,adverbio,mag ná ni ma men te,2
majamente,adverbio,ma ja men te,3
malhabladamente,adverbio,ma lha bla da men te,5
malísimamente,adverbio,ma lí si ma men te,2
malpagadamente,adverbio,mal pa ga da men te,5
malsonantemente,adverbio,mal so nan te men te,5
maniatadamente,adverbio,ma nia ta da men te,5
marítimamente,adverbio,ma rí ti ma men te,2
masivamente,adverbio,ma si va men te,4
masoquísticamente,adverbio,ma so quís ti ca men te,3
matinalmente,adverbio,ma ti nal men te,4
máximamente,adverbio,má xi ma men te,1
medicalmente,adverbio,me di cal men te,4
médicamente,adverbio,mé di ca men te,1
menguantemente,adverbio,men guan te men te,4
méritamente,adverbio,mé ri ta men te,1
mermadamente,adverbio,mer ma da men te,4
metálicamente,adverbio,me tá li ca men te,2
mínimamente,adverbio,mí ni ma men te,1
míseramente,adverbio,mí se ra men te,1
mojadamente,adverbio,mo ja da men te,4
monamente,adverbio,mo na men te,3
morfológicamente,adverbio,mor fo ló gi ca men te,3
muellemente,adverbio,mue lle men te,3
mundialmente,adverbio,mun dial men te,3
narcisísticamente,adverbio,nar ci sís ti ca men te,3
navalmente,adverbio,na val men te,3
neblinosamente,adverbio,ne bli no sa men te,5
nebulosamente,adverbio,ne bu lo sa men te,5
nefariamente,adverbio,ne fa ria men te,4
nefastamente,adverbio,ne fas ta men te,4
negadamente,adverbio,ne ga da men te,4
negramente,adverbio,ne gra men te,3
nítidamente,adverbio,ní ti da men te,1
noctámbulamente,adverbio,noc tám bu la men te,2
nocturnamente,adverbio,noc tur na men te,4
novelescamente,adverbio,no ve les ca men te,5
nuclearmente,adverbio,nu cle ar men te,4
obligadamente,adverbio,o bli ga da men te,5
obligatoriamente,adverbio,o bli ga to ria men te,6
olfativamente,adverbio,ol fa ti va men te,5
opcionalmente,adverbio,op cio nal men te,4
orgánicamente,adverbio,or gá ni ca men te,2
organizadamente,adverbio,or ga ni za da men te,6
orgásmicamente,adverbio,or gás mi ca men te,2
ostentatoriamente,adverbio,os ten ta to ria men te,6
pandémicamente,adverbio,pan dé mi ca men te,2
paradójicamente,adverbio,pa ra dó ji ca men te,3
partisanamente,adverbio,par ti sa na men te,5
pasajeramente,adverbio,pa sa je ra men te,5
pasitamente,adverbio,pa si ta men te,4
penosamente,adverbio,pe no sa men te,4
perrunamente,adverbio,pe rru na men te,4
pictóricamente,adverbio,pic tó ri ca men te,2
podridamente,adverbio,po dri da men te,4
pontíficamente,adverbio,pon tí fi ca men te,2
positivamente,adverbio,po si ti va men te,5
póstumamente,adverbio,pós tu ma men te,1
precozmente,adverbio,pre coz men te,3
presumiblemente,adverbio,pre su mi ble men te,5
primigeniamente,adverbio,pri mi ge nia men te,5
primordialmente,adverbio,pri mor dial men te,4
principescamente,adverbio,prin ci pes ca men te,5
pringosamente,adverbio,prin go sa men te,4
profundísimamente,adverbio,pro fun dí si ma men te,3
provisoriamente,adverbio,pro vi so ria men te,5
psicológicamente,adverbio,psi co ló gi ca men te,3
punzantemente,adverbio,pun zan te men te,4
quirúrgicamente,adverbio,qui rúr gi ca men te,2
radiantemente,adverbio,ra dian te men te,4
reaccionariamente,adverbio,re ac cio na ria men te,6
reaciamente,adverbio,re a cia men te,4
recalcitrantemente,adverbio,re cal ci tran te men te,6
recogidamente,adverbio,re co gi da men te,5
regaladamente,adverbio,re ga la da men te,5
resonadamente,adverbio,re so na da men te,5
respetusamente,adverbio,res pe tu sa men te,5
respondonamente,adverbio,res pon do na men te,5
retiradamente,adverbio,re ti ra da men te,5
rimbombantemente,adverbio,rim bom ban te men te,5
rítmicamente,adverbio,rít mi ca men te,1
rocambolescamente,adverbio,ro cam bo les ca men te,6
sabiondamente,adverbio,sa bion da men te,4
sagradamente,adverbio,sa gra da men te,4
saladamente,adverbio,sa la da men te,4
salientemente,adverbio,sa lien te men te,4
salvadamente,adverbio,sal va da men te,4
salvajemente,adverbio,sal va je men te,4
sangrantemente,adverbio,san gran te men te,4
santamente,adverbio,san ta men te,3
santificadamente,adverbio,san ti fi ca da men te,6
santísimamente,adverbio,san tí si ma men te,2
sañudamente,adverbio,sa ñu da men te,4
sardónicamente,adverbio,sar dó ni ca men te,2
sarnosamente,adverbio,sar no sa men te,4
satisfechamente,adverbio,sa tis fe cha men te,5
selectivamente,adverbio,se lec ti va men te,5
sensacionalistamente,adverbio,sen sa cio na lis ta men te,7
sensacionalísticamente,adverbio,sen sa cio na lís ti ca men te,5
sensorialmente,adverbio,sen so rial men te,4
separatistamente,adverbio,se pa ra tis ta men te,6
sepulcralmente,adverbio,se pul cral men te,4
serenamente,adverbio,se re na men te,4
severísimamente,adverbio,se ve rí si ma men te,3
sibaríticamente,adverbio,si ba rí ti ca men te,3
similarmente,adverbio,si mi lar men te,4
sinérgicamente,adverbio,si nér gi ca men te,2
sinuosamente,adverbio,si nuo sa men te,4
sobresalientemente,adverbio,so bre sa lien te men te,6
socialmente,adverbio,so cial men te,3
sombríamente,adverbio,som brí a men te,2
sorprendentemente,adverbio,sor pren den te men te,5
sorpresivamente,adverbio,sor pre si va men te,5
sotilmente,adverbio,so til men te,3
suavísimamente,adverbio,sua ví si ma men te,2
subjetivamente,adverbio,sub je ti va men te,5
sublimemente,adverbio,su bli me men te,4
submarinamente,adverbio,sub ma ri na men te,5
subsecuentemente,adverbio,sub se cuen te men te,5
sudorosamente,adverbio,su do ro sa men te,5
sufridamente,adverbio,su fri da men te,4
suplementariamente,adverbio,su ple men ta ria men te,6
supuestamente,adverbio,su pues ta men te,4
supurantemente,adverbio,su pu ran te men te,5
susurrantemente,adverbio,su su rran te men te,5
táctilmente,adverbio,tác til men te,1
tajantemente,adverbio,ta jan te men te,4
tambaleantemente,adverbio,tam ba le an te men te,6
tangencialmente,adverbio,tan gen cial men te,4
tangiblemente,adverbio,tan gi ble men te,4
tartamudeantemente,adverbio,tar ta mu de an te men te,7
temblorosamente,adverbio,tem blo ro sa men te,5
tenazmente,adverbio,te naz men te,3
tensamente,adverbio,ten sa men te,3
tenuamente,adverbio,te nua men te,3
tenuemente,adverbio,te nue men te,3
tergiversadamente,adverbio,ter gi ver sa da men te,6
tergiversadoramente,adverbio,ter gi ver sa do ra men te,7
tergiversantemente,adverbio,ter gi ver san te men te,6
ternísimamente,adverbio,ter ní si ma men te,2
tersamente,adverbio,ter sa men te,3
testarudamente,adverbio,tes ta ru da men te,5
tetudamente,adverbio,te tu da men te,4
tiernamente,adverbio,tier na men te,3
típicamente,adverbio,tí pi ca men te,1
titubeantemente,adverbio,ti tu be an te men te,6
tórridamente,adverbio,tó rri da men te,1
torvamente,adverbio,tor va men te,3
tozudamente,adverbio,to zu da men te,4
traicioneramente,adverbio,trai cio ne ra men te,5
tremendamente,adverbio,tre men da men te,4
truculentamente,adverbio,tru cu len ta men te,5
unicamente,adverbio,u ni ca men te,4
unilateralmente,adverbio,u ni la te ral men te,6
vacíamente,adverbio,va cí a men te,2
vacilantemente,adverbio,va ci lan te men te,5
vaginalmente,adverbio,va gi nal men te,4
valentísimamente,adverbio,va len tí si ma men te,3
valiosamente,adverbio,va lio sa men te,4
vanidosamente,adverbio,va ni do sa men te,5
ventralmente,adverbio,ven tral men te,3
verídicamente,adverbio,ve rí di ca men te,2
vespertinamente,adverbio,ves per ti na men te,5
virulentamente,adverbio,vi ru len ta men te,5
vivazmente,adverbio,vi vaz men te,3
vociferantemente,adverbio,vo ci fe ran te men te,6
volcánicamente,adverbio,vol cá ni ca men te,2
volublemente,adverbio,vo lu ble men te,4
vulcánicamente,adverbio,vul cá ni ca men te,2
